hwid,name,available,location,description,brand,model,os,type
183,Nokia X3-00,t,cologne,Handy\n\nBestandteile:\n- Handy\n- Klappe\n- Akku\n- Aufladekabel\n- Datenkabel,Unspecified,Mobile,Mobile OS 0.0,mobile
190,EKEN MID,t,cologne,Tablet\n\nBestandteile:\n- Aufladekabel\n\nGeräte-Header trifft nur einen generic Fallback. Richtiger Client wäre: EKEN M001;Open Handset Alliance Android OS 1.6;Open Handset Alliance Android Build-In 1.6,Unspecified,Android,Android OS 1.6,mobile
181,Sony Ericsson U5i (Vivaz),t,cologne,Smartphone; WLAN-Fähig (benötigt aber trotzdem SIM)\n\nBestandteile:\n- Handy\n- Klappe\n- Akku\n- Stift\n- Datenkabel\n- Stromnetzadapter\n,Sony Ericsson,U5,Symbian Platform 1.0,mobile
206,LG E900 Optimus 7,t,cologne,DARF NICHT AUF HÖHERE OS VERSION AKTUALISIERT WERDEN ! REFERENZGERÄT\n\nSmartphone. Windows Phone 7 Gerät. WLAN-Unterstützung.\n\nBlue-Box Inhalt:\n- Phone\n- Akku\n- Deckel\n- Datenkabel\n- Stromnetzadapter,LG,E900,Windows Phone 7.0,mobile
177,Huawei U8220 (Pulse),t,cologne,Smartphone\n\nBestandteile:\n- Akku\n- Klappe\n- Aufladeadapter (Euro/USB)\n- Datenkabel (USB)\n,Huawei,U8220,Android OS 1.5,mobile
182,Samsung GT-S5230,t,cologne,Smartphone\n\nBestandteile:\n- Klappe\n- Akku\n- Aufladegerät\n- Datenkabel,Samsung,GT-S5230,SHP 5.0 2009,mobile
178,Samsung SGH-F480i,t,cologne,Smartphone. Keine WLAN Unterstützung  SIM-Karte erforderlich.\n\nBestandteile:\n- Handy\n- Klappe\n- Akku\n- Datenkabel\n- Aufladegerät\n\n,Samsung,SGH-F480i,SHP 5.0 2008,mobile
197,Huawei E5 (1),t,cologne,Mobiler WLAN Hotspot.\nEinbindung von 5 Geräten möglich. HSUPA/HSDPA/UMTS 2100/900 MHz. EDGE/GPRS/GSM 1900/1800/900/850.\n\nZubehör\n- Deckel\n- Akku\n- Datenkabel\n- Netzteil (nicht original),unspecified,unspecified,unspecified,unspecified
196,Google Nexus S,t,cologne,Smartphone\n\nWLAN Unterstützung. \n\nVorsicht: Das Gehäuse beim USB-Kabel [ miniUSB - Gehäuse ] ist etwas locker!!!\n\nBestandteile:\n- Handy\n- Klappe\n- Akku\n- Stromnetz-Adapter\n- USB Kabel\n- Silikon-Hülle,Samsung,Nexus S,Android OS 4.12,mobile
48,Nokia E60 (2),t,cologne,Handy Nr. 2 (Wir haben 2 Handys von diesem Modell)\n\nBestandteile:\n- Deckel\n- Akku\n- Aufladegerät\n,Nokia,E60,Series60 3.0,mobile
201,Palm Pre Plus,t,cologne,Smartphone. WLAN unterstützung.\n\nBestandteile:\n- Akku\n- Deckel\n- Ladekabel (USB)\n- Netzadapter,HP Palm,Pre Plus,webOS 2.1,mobile
18,Nokia E61,t,cologne,WLAN UNterstützung\n\nHandy.\n\nZubehör:\n- Ladekabel\n- USB Kabel\n- Deckel\n- Akku,Nokia,E61,Series60 3.0,mobile
180,Nokia 6700c,t,cologne,Handy\n\nBestandteile:\n- Handy\n- Klappe\n- Akku\n- Aufladekabel\n- Datenkabel,Nokia,6700c,Series40 6.0,mobile
185,Archos 9,t,cologne,Tablet; WLAN; Benutzer: devicemanagement; Computername: hera; Password: Asdfg123\n\nBestandteile:\n- Gerät\n- Akku\n- Engl. Netzadapter\n- Amerikanischer Netzadapter\n- Deutscher Netzadapter\n- Aufladegerät,Unspecified,Desktop,Windows NT 6.1,desktop
186,WeTab 3G,t,cologne,Tablet;\n\nWeTaB Market Account\nVorname Sevenval; Nachname: Devicemanagement; Benutzername: devicemanagement; Password: Asdfg123\n\nBestandteile:\n- Tablet\n- Aufladegerät\n- Netz-Stecker zum Aufladegerät\n- Hülle\n,Unspecified,Desktop,OS 0.0,desktop
84,Sony Ericsson W810i,t,cologne,Handy\n\nBestandteile:\n- Handy\n- Akku\n- Deckel\n- Datenkabel\n- Aufladegerät,Sony Ericsson,W810i,W Series 8.1,mobile
199,BlackBerry 9000 (3),t,cologne,Smartphone\n\nDas alte Firmenhandy von Peter.\n\nWLAN-Unterstützung.\n\nBestandteile:\n- Akku\n- Deckel\n- Aufladekabel\n- Datenkabel,Research In Motion,BlackBerry 9000,BlackBerry OS 4.0,mobile
59,Sony Ericsson K700i,t,cologne,Handy;\nBestandteile:\n- Gerät\n- Akku\n- Deckel\n\nAkku defekt. Neuer Bestellt (03.12.2010)\nAkku wurde ersetzt (03.01.2011).,Sony Ericsson,K700i,K Series 7.0,mobile
151,HTC Tornado Noble (Alias: VDA II),t,cologne,Smartphone; Unterstützte SIM-Karten: Vodafone (SID 3)\nWLAN-Unterstützung ohne WPA2-Verschlüsselung.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Stromnetzkabel\n- Mini-USB-Kabel,HTC,Tornado Noble,Windows Mobile 5.0,mobile
195,BlackBerry Torch Slider 9800,t,cologne,Smartphone\n\nWLAN unterstützung.\n\nBestandteile:\n- Netzteiladapter\n- USB Datenkabel\n- Akku\n- Deckel\n,Research In Motion,BlackBerry 9800,BlackBerry OS 6.0,mobile
565,Nokia Lumia 620,t,cologne,Windows 8 - Smartphone.\nWLAN-Unterstützung.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku,Nokia,Lumia 620,Windows Phone 8.0,mobile
27,Nokia N97,t,cologne,Handy; WLAN-Unterstützung;\n\nBestandteile:\n- Deckel\n- Akku\n- Datenkabel\n- Stift,Nokia,N97,Symbian Platform 1.0,mobile
191,HTC HD7,t,cologne,Smartphone\n\nBestandteile:\n- Klappe\n- Akku\n- Datenkabel\n- Netzadapter,Unspecified,Windows Phone 7.5,Windows Phone 7.5,mobile
202,HTC Wildfire,t,cologne,Smartphone. WLAN-Unterstützung.\n\nBestandteile-Zubehör:\n- Deckel\n- Akku\n- Ladekabel (USB)\n- Stromnetzstecker,HTC,Wildfire,Android OS 2.21,mobile
194,Apple MacBook A1181,t,cologne,Notebook  Password für Admin: [leer]\niPhone/iPad-Simulator installiert.\n\nBestandteile:\n- Notebook\n- Netzadapter\n- Aufladegerät,Apple,Unspecified Desktop,Mac OS X 10.6,desktop
204,Nokia E71 (2),t,cologne,Smartphone. Erwins altes Firmenhandy. WLAN-Unterstützung.\n\nInhalt der Box:\n- Phone\n- Akku\n- Deckel\n- Aufladekabel,Nokia,E71,Series60 3.1,mobile
176,BlackBerry Curve 8310 (3),t,cologne,Smartphone. Keine WLAN Unterstützung\n\nBestandteile:\n- Akku\n- Deckel\n- Datenkabel\n- Aufladekabel,Research In Motion,BlackBerry 8310,BlackBerry OS 2.7,mobile
217,Nokia E51,t,cologne,Smartphone. Das alte Dienst-Handy von den Admins\n\nBlue-Box-Inhalt:\n- Phone\n- Akku\n- Deckel\n,Nokia,E51,Series60 3.1,mobile
208,STROBL WebTube HD,t,cologne,Internet on HDTV.\n\nZubehör:\n- WebTube-Box\n- HDMI-Kabel\n- Stromnetzkabel\n- Fernbedienung,STROBL,WebTube HD,Android OS 1.5,tv
207,Apple iPad 2 (1),t,cologne,iOS 6.0.1 (6.0) Referenzgeärt !!!! NICHT AKTUALISIEREN !!\n\nTablet.\n\nZubehör:\n- USB-Kabel\n- Adapter\n- Stecker,Apple,iPad,iOS 6.01,tablet
193,BlackBerry 9000 (2),t,cologne,Smartphone.\nDas alte Firmen-Handy von Heiko Schwamb.\nKennword: 8809\n\nWLAN Unterstützung\n\nBestandteile:\n- Deckel\n- Akku\n- Netzteil,Research In Motion,BlackBerry 9000,BlackBerry OS 4.0,mobile
172,BlackBerry Curve 8900,t,cologne,Smartphone;Kennwort zum Entsperren: 8809;\nWLAN-Unterstützung\n\nBestandteile:\n- Deckel\n- Akku\n- Natzadapter\n- Datenkabel\n,Research In Motion,BlackBerry 8900,BlackBerry OS 4.0,mobile
203,BlackBerry 9780 Bold,t,cologne,Smartphone. WLAN-Unterstützung. \n\nBestandteile:\n- Deckel\n- Akku\n- Stromnetzkabel\n- Stromnetzstecker\n- Ladekabel (USB),Research In Motion,BlackBerry 9700,BlackBerry OS 4.0,mobile
209,HP TouchPad,t,cologne,Tablet\n\nZubehör:\n- Tablet\n- Datenkabel\n- Adapter\n- Engl.-Stromnetz-Stecker,HP,TouchPad,webOS 3.0,tablet
179,Samsung GT-I9000 (Galaxy S),t,cologne,Smartphone; WLAN\nAndroid 2.3.6\n\nBestandteile:\n- Klappe\n- Akku\n- Aufladegerät\n- Datenkabel,Samsung,GT-i9000,Android OS 2.36,mobile
576,Samsung GT-S5690,t,cologne,Samsung Galaxy XCover. Smartphone. WLAN-Unterstützung. IMEI-Nr.: 354956053229477.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Ladekabel\n- USB-Kabel,Samsung,GT-S5690,Android OS 2.36,mobile
392,Apple iPod 3G (4) (16GB),t,berlin,Seriennummer: 1A9298M6203\nVersion:iOS 3.1.2,Apple,iPod Touch,iPhone OS 3.12,mobile
210,BlackBerry Playbook,t,berlin,Tablet.\n- Von Kölner Gadget-o-thek an die Berliner übergeben.\n\nGreen-Box Inhalt:\n- Tablet\n- Datenkabel\n- Aufladegerät (us.)\n- Hülle\n- Stromnetzstecker (eu.)\n,Research In Motion,BlackBerry PlayBook,BlackBerry Tablet OS 2.0,tablet
240,Apple iPod Touch (3),t,cologne,iOS 4.2.1 (5.0.2) Referenzgeärt !!!! NICHT AKTUALISIEREN !!\n\nMP3-Player\nFirmware 4.2.1\nWLAN-Unterstützung\n\nBestandteile:\niPod (Modell MB528FD)\nLade-/Sync-Kabel\nSilikonhülle\n\nUDID: bc88ff391f2ff8b9edf338e79880e50d445e40cb\nMac-Adresse: 00:24:36:DC:4E:66\n\nSeriennummer: 1B903UYQ201\n\nDas Gerät weist starke Kratzer auf Vorder- und Rückseite auf.\n\nDas Gerät wird gerne für Jans BoomBox ausgeliehen.\n\nDie Einstellung der Lautstärke weißt leichte Probleme auf sich. [ Ton minimieren -&gt; Defekt ]\n=&gt; Michael Kirschbaum,Apple,iPod Touch,iOS 4.21,mobile
218,Nokia E60 (3),t,cologne,Smartphone. WLAN-Unterstützung.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladegerät\n,Nokia,E60,Series60 3.0,mobile
404,HTC Touch Pro,f,berlin,,unspecified,unspecified,unspecified,unspecified
231,Samsung GT-I9100 (Samsung Galaxy S II),t,cologne,Smartphone. WLAN-Unterstützung\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- USB-Kabel\n- Stromnetzkabel,Samsung,GT-I9100 Galaxy S2,Android OS 4.12,mobile
535,Nokia Lumia 800 (2),t,cologne,Smartphone. WLAN-Fähig.\nIMEI-Nr.: 359289047905027\n\nDas Phone hat multiple Funktionsstörungen und ist eigentlich nicht mehr verwendbar.\n\nBlue-Box-Inhalt:\n- Phone\n- Schutzhülle\n\nSIM-Fach- bzw. USB-Port-Schutzklappe fehlt.,Nokia,800,Windows Phone 7.5,mobile
410,Nokia 5310,f,berlin,,unspecified,unspecified,unspecified,unspecified
62,BlackBerry Curve 8310 (1),t,cologne,Smartphone. Keine WLAN-Unterstützung\n\nDas alte Firmenhandy von Tanja.\n\nBox-Bestandteile:\n- Klappe\n- Akku\n- Datenkabel (USB)\n- Aufladekabel\n,Research In Motion,BlackBerry 8310,BlackBerry OS 2.7,mobile
214,Amazon Kindle 3,t,cologne,eBook-Reader\n\nKarton-Inhalt:\n- ebook-Reader\n- USB-Aufladekabel\n,Amazon,Kindle 3,Kindle OS 3.0,mobile
226,Sony Ericsson XPERIA Play,t,cologne,Smartphone und mobile Spielkonsole. WLAN-Unterstützung.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Datenkabel\n- Stromnetzstecker,Sony Ericsson,R800,Android OS 2.32,mobile
230,Samsung GT-S8530 Wave II,t,cologne,Smartphone. WLAN-Untestützung.\n\nBlue-Box-Inhalt:\n- Phone\n- Aufladegerät\n- Akku\n- Deckel\n- Datenkabel,Samsung,GT-S8530,Bada 1.2,mobile
216,Motorola Xoom,t,cologne,Tablet\n\nBestandteile:\n- Tablet\n- Datenkabel\n- Stromnetzstecker\n- Netzteil\n- Hülle,Motorola,XOOM,Android OS 3.2,tablet
566,Palm Pre (2),t,cologne,Das Palm Pre von Yasemin K. \n\nFirmware: webOS/1.4.5; \nWLAN-Unterstützung;\n\nBestandteile:\n- Akku\n- Deckel\n- Phone,HP Palm,Pre,webOS 1.45,mobile
212,Kyocera M9300,t,cologne,Smartphone mit zwei Touchscreens.\n\nINFO: Das Gerät lässt sich nur per Stromnetzstecker aufladen.\n\nVORSICHT: Beim Öffnen des zweiten Touchscreens keine Gewalt verwenden  da diese Konstruktion des Geräts keine hohe Langlebigkeit aufweist.\n\nBlue-Box Inhalt:\n- Phone\n- Deckel\n- Akku\n- Datenkabel\n- Stromnetzstecker (us.)\n- Stromnetzstecker (eu.)\n\n,Kyocera,Echo M9300,Android OS 2.21,mobile
3,AVM Fritz 8040,t,cologne,Fritz!-Box\n\nBox:\n\n- Receiver\n- Fernbedienung\n- SCART-Kabel\n- Stromnetzteil\n\nWLAN/LAN\n\nUm zum Browser zu kommen:\n   * Im Menü -&amp;amp;amp;gt; Einstellungen -&amp;amp;amp;gt; Geräteeinstellungen.\n   * Im Setupmenü des Mediencenters.\n      * Play 4711 Play,generic,-,Vendor Specific 1.0,unspecified
225,Sony Ericsson Elm,t,cologne,Feature-Phone. WLAN-Unterstützung. SIM-Karte erforderlich.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladekabel\n- Tasche,Sony Ericsson,Elm,J Series 0.1,mobile
414,Nokia 7610 Supernova,f,berlin,,unspecified,unspecified,unspecified,unspecified
131,HTC Legend,t,cologne,Handy\n\nZubehör:\n   1: Klappe\n   2: Akku\n   4: Netzteil (USB)\n   5: USB-Kabel\n\n\nBemerkungen:\n   * WLAN-Unterstützung\n   * Kleine Delle hinten über den Deckel (14.07.2011) nach Eingangsbestätigung v. Philipp Boue.,HTC,Legend,Android OS 2.2,mobile
9,VideoWeb 600S,t,cologne,Receiver\n\nBox:\n\n- Receiver\n- Fernbedienung\n- HDMI - Kabel\n\nHinweis:\nEigene Internetseiten können über eine angeschlossene Tastatur aufgerufen und getestet werden.\nDrücken Sie hierfür bitte Strg+ALT+g (Windows) oder ctrl+g (Mac).\nSie können nun Ihre eigene URL eingeben. Um die Adressleiste wieder zu schließen  löschen Sie die eingegebene URL und drücken Sie ENTER.,generic,-,Vendor Specific 1.0,unspecified
228,HTC ChaCha,t,cologne,Smartphone. WLAN-Unterstützung.\n\n- Phone\n- Deckel\n- Akku\n- Datenkabel\n- Stromnetzstecker,HTC,ChaCha,Android OS 2.33,mobile
215,Nintendo 3DS,t,cologne,Mobile Spielkonsole\n\nBlue-Box Inhalt:\n- Mobile Spielkonsole\n- Aufladekabel\n- Aufladestation\n- Stift,Nintendo,3DS,3DS Series 1.0,console
232,SHARP LC19D1EBK AQUOS (4),t,cologne,Fernseher.\n\nZubehör:\n- Fernbedienung,unspecified,unspecified,unspecified,unspecified
233,BlackBerry 9900,t,cologne,Smartphone. WLAN-Unterstützung.\nPIN-Nr.: 28185B4D\nIMEI-Nr.: 356841.04.172617.2\nBlackBerry App World Account-Daten siehe: https://ticket.office.sevenval.de/projects/infos/wiki/Gadgetothek_ixxx_devices_WP7_Market\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- USB-Kabel\n- Stromnetzstecker,Research In Motion,BlackBerry 9900,BlackBerry OS 7.1,mobile
46,Motorola V8,t,cologne,Handy. Keine WLAN Unterstützung.\n\nBlue-Box-Inhalt:\n- Phone \n- Deckel\n- Akku\n- Aufladekabel,Motorola,RAZR V8,Mobilinux 2.6,mobile
220,LG Optimus Black,t,cologne,Das alte Firmenhandy von Cornelia.\n\nInhalt:\n- Phone\n- Deckel\n- Akku\n- Datenkabel\n- Stromnetzstecker\n- Hülle\n\n,LG,P970,Android OS 2.22,mobile
234,Nokia E72,t,cologne,Smartphone. WLAN-Unterstützung\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladekabel\n- Datenkabel,Nokia,E72,Series60 3.2,mobile
32,Sony Ericsson W880i,t,cologne,Handy. Keine WLAN-Unterstützung\n\n\nBestandteile:\n- Handy\n- Akku\n- Klappe\n- Aufladekabel\n- Datenkabel,Sony Ericsson,W880iv,W Series 8.0,mobile
77,Palm Treo,t,cologne,Handy\n\nBlue-Box-Inhalt:\n- Ladekabel,Palm,Treo 650,PalmOS 5.4,mobile
122,Apple iPad 1,t,cologne,iOS 3.2 (4.0.4) Referenzgeärt !!!! NICHT AKTUALISIEREN !!\n\nDas zweite iPad von 7val. Netwerkkompatibilität: WLAN. UDID: 4275efb78e76aacf58f1457bc8514e642fa3e907\n;\nBestandteile:\n- Gerät\n- Adapter\n- Adaptermodul (USB)\n- Datenkabel\n- Hülle,Apple,iPad,iPhone OS 3.2,tablet
235,Apple iPad 1 (16GB),t,cologne,iOS 5.1.1 (5.1) Referenzgeärt !!!! NICHT AKTUALISIEREN !!\n\nTablet. WLAN-Unterstützung\n\n- Tablet\n- Hülle\n- Datenkabel\n- Stromnetzstecker\n- Adapter,Apple,iPad,iOS 5.11,tablet
399,LG E900 (Optimus 7),t,berlin,IMEI: 354042041468392\nSeriennummer: 011KPVH146839\nVersion: WP 7.8,LG,E900,Windows Phone 7.5,mobile
211,Apple iPad 1 - 3G (3) (32GB),t,cologne,iOS 5.1 (5.1) Referenzgeärt !!!! NICHT AKTUALISIEREN !!\n\nTablet\n\nBlue-Box-Inhalt:\n\n- Datenkabel\n- Stromnetz-Adapter\n- Stromnetzstecker\n- Hülle\n,Apple,iPad,iOS 5.1,tablet
68,Apple iPhone (1),t,cologne,iOS 3.1.3 (4.0) Referenzgeärt !!!! NICHT AKTUALISIEREN !!\n\nEplus Karte funktioniert nicht; WLAN-Unterstützung; \nUDID: a719938c48baca5fb10de919971c536d7ae4d4e7\n\nBlue-Box-Inhalt:\n- Ladekabel\n\nIn der Ecke oben rechts auf dem Display hat das Display eine Fläche voller Pixelfehler. Aufgefallen SebastianT. Hat das Gerät für Jonathan (der es gebucht hat) abgeholt - 28.6.2011 09:26 Markus,Apple,iPhone,iPhone OS 3.13,mobile
222,HTC Flyer,t,cologne,Tablet\n\nBlue-Box-Inhalt:\n- Tablet\n- Deckel\n- Aufladegerät\n- Stift\n- Datenkabel\n- Hülle\n,HTC,Flyer,Android OS 3.21,tablet
241,HTC Titan,t,cologne,Smartphone. WLAN-Unterstützung.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Datenkabel\n- Stromnetzstecker,HTC,Eternity,Windows Phone 7.5,mobile
253,HTC One X,t,cologne,Android 4.1.1\n\nBlue-Box-Inhalt:\n\n- Phone\n- USB-Kabel\n- Stromnetzstecker\n- SIM-Fach-Öffner,HTC,One X,Android OS 4.11,mobile
243,Huawei IDEOS X3,t,cologne,Smartphone. WLAN-Unterstützung.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Datenkabel\n- Stromnetzstecker,Huawei,U8510,Android OS 2.33,mobile
248,Amazon Kindle Fire,t,cologne,E-Book Reader.\n\nZubehör:\n- Aufladekabel\n- EU-Stromnetz-Adapter,Amazon,Kindle Fire,Android OS 2.34,tablet
254,Apple iPhone 4S (4) (16GB) schwarz,t,cologne,Smartphone. WLAN-Unterstützung.\n\nSeriennummen: DNRHFLUZDTC0\nUDID: ca2a6b461382effc8bb405e5cc804545c0d78eb1\n\n\nBlue-Box-Inhalr:\n- Phone\n- Datenkabel\n- Stromnetzstecker\n- SIM-Fach-Öffner\n,Apple,iPhone,iOS 5.11,mobile
129,Apple iPhone 4(1),t,cologne,Das Gerät darf auf KEINEN FALL Aktualisiert werden !!! REFERENZGERÄT\n\nHandy; WLAN-Unterstützung;\nUDID: a2938820c7a064aa00b696de0a2b88db35430a96;\nIMEI: 012417002448555\n\nBestandteile:\n- Handy\n- Ladekabel\n\n\nHandy ist an Henning ausgeliehen. Dieser hat es an Wilhelm weitergegeben. Dort soll es vom Tisch verschwunden sein.\n\nDas verschwundene Phone wurde durch ein neues ersetzt.\n\nDas Gerät ist wieder aufgetaucht und unter seiner alten HID 129 im Einsatz.,Apple,iPhone,iOS 4.35,mobile
245,BlackBerry Curve 8900 (3),t,cologne,Smartphone. WLAN-Unterstützung\nDas alte Firmenhandy von Guido Kaltwasser.\n\nBlue-Box-Inhalt:\n- Phone \n- Deckel\n- Akku\n- USB-Datenkabel\n,Research In Motion,BlackBerry 8900,BlackBerry OS 4.0,mobile
188,Samsung GT-I8700 Omnia 7,t,cologne,Smartphone\n\nBestandteile:\n- Akku\n- Deckel\n- Datenkabel\n- Aufladekabel\n\nHistorie:\nDas Handy wurde zurückgeschickt  weil das Display wackelte.\nHandy wurde nach Reparatur wieder im Einsatz (03.01.2011). \n,Samsung,GT-i8700,Windows Phone 7.5,mobile
246,Samsung GT-S8600 Wave 3,t,cologne,Smartphone. WLAN-Unterstützung. (Betriebssystem Bada 2.0).\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladekabel\n- Datenkabel\n,Samsung,GT-S8600,Bada 2.0,mobile
247,Tee- bzw. Kaffeekanne,t,cologne,Formschöne Tee-/Kaffeekanne mit gelbem Griff.\n\nZubehör:\n\n- bronzefarbene Patina (bitte nicht spülen  das MUSS so sein!),unspecified,unspecified,unspecified,unspecified
255,Apple iPhone 4S (5) (16GB) schwarz,t,cologne,Smartphone. WLAN-Unterstützung.\n\nBlue-Box-Inhalr:\n- Phone\n- Datenkabel\n- Stromnetzstecker\n- SIM-Fach-Öffner\n,Apple,iPhone,iOS 5.1,mobile
257,Apple iPad 3 4G (2),t,cologne,Tablet. WLAN-Unterstützung.\n\nZubehör:\n- Datenkabel\n- Stromnetzstecker\n- Adapter\n- SIM-Fach-Öffner\n,Apple,iPad,iOS 6.01,tablet
262,D-Link BOXEE BOX,t,cologne,TV-Media-Box\n\nZubehör:\n- D-Link Boxee - Box\n- Netzteil\n- Stromnetzstecker (EU)\n- HDMI-Kabel\n- Fernbedienung\n,D-Link,BOXEE Box,Boxee 1.5,tv
260,Sony XPeria S,t,cologne,Smartphone. WLAN-Unterstützung.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Datenkabel\n- Stromnetzstecker\n,Sony,LT26i,Android OS 2.37,mobile
567,Alcatel One Touch Fire,t,cologne,Smartphone. WLAN-Unterstützung.\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- USB-Datenkabel\n- Stromnetzstecker\n,Alcatel,One Touch Fire,Firefox OS 1.1,mobile
259,Samsung GT-I9300 (Samsung Galaxy S III),t,cologne,Smartphone. WLAN-Unterstützung.\n\nBlue-Box-Zubehör:\n- Phone\n- Deckel\n- Akku\n- USB-Datenkabel\n- Stromnetzstecker,Samsung,GT-i9300,Android OS 4.12,mobile
252,Logitech Revue (Google TV),t,cologne,WebTV-Box.\n\n\nZubehör:\n- Tastatur\n- HDMI-Kabel\n- Stromnetzkabel (engl.)\n- Stromnetzkabel (eu)\n- Stromversorgungsnetzteil,Logitech,Revue,Android OS 3.1,tv
175,Apple iPhone 4(2),t,cologne,Smartphone; WLAN-Unterstützung;\n\nBestandteile:\n- Datenkabel\n- Stromnetzadapter\n- SIM-Fach-Öffner\n\nMailaccount: \nName: Sevenval Fitml\nAdressen: fitml@hotmail.de  \nPasswort: Asdfg123\n\nUnique Device Identifier: \n90fc1e3839b399af7ff16acf3a82687fa7830abb\n,Apple,iPhone,iOS 5.01,mobile
251,Apple iPad 3 4G (1),t,cologne,iOS 7.1.1 Referenzgeärt !!!! NICHT AKTUALISIEREN !!!\n\nTablet. WLAN-Unterstützung.\n\nZubehör:\n- Datenkabel\n- Stromnetzstecker\n- Adapter\n- SIM-Fach-Öffner,Apple,iPad,iOS 7.11,tablet
4,AVM Fritz 8260,t,cologne,Fritz!-Box\n\nBox:\n\n- Receiver\n- Fernbedienung\n- HDMI - Kabel\n- Stromnetzteil\n\n\n\nFritz Box 2. Zum eingeben einer URL folgende Tastenkombination eintippen per Fernbedienung: Setup-Knopf  Play-Knopf  1  2  3  4.,unspecified,unspecified,unspecified,unspecified
503,HTC Windows Phone 8x,t,berlin,HTC Windows Phone 8x\nOS: 8.0.0.10211.204\n\nBildschirmauflösung: 720x1280 4.3 Zoll (10 92 cm)\nPixeldichte\t342 ppi (Pixel/Zoll)\n\nChipsatz\t  Snapdragon S4  Cortex A15\nHauptprozessor\t  Dualcore ARM Cortex A9\nTaktrate\t  2 x 1500 Megahertz\nRAM\t          1024 Megabyte\nSpeicher (intern) 16 GB\n\n\nIMEI:353569051962816\nMAC-Adresse:BC-CF.CC-A1-C5-F8,HTC,Windows Phone 8X,Windows Phone 8.0,mobile
133,Apple iPad 1 - 3G (2) (32GB),t,cologne,iOS 5.1.1 (5.1) Referenzgeärt !!!! NICHT AKTUALISIEREN !!\n\nPC-Tablet;\n\nBestandteile:\n- Netzadapter\n- Datenkabel (USB)\n- Hülle\n\nBemerkugen:\n   * WLAN-Unterstützung\n   * Das Zubehör des iPads wird in einer blauen Box\n   * SIM-FACH-Öffner fehlt. (25.04.2012 - Uhrzeit: 13:42)\naufbewahrt.,Apple,iPad,iOS 5.11,tablet
239,Apple iPhone 4 (16GB),t,cologne,iOS 6.1 (6.0) Referenzgeärt !!!! NICHT AKTUALISIEREN !!\n\nSmartphone.\n\nNeue UDID: 1f50a70adbd808809b591d6238c864f943ae1eaf\nNeue IMEI Nr.: 012753001661990\n\nBlue-Box-Inhalt:\n- Phone\n- Ladekabel,Apple,iPhone,iOS 6.1,mobile
70,Apple iPhone 3G 8GB (2),t,cologne,iOS 4.0 (4.0.5) Referenzgeärt !!!! NICHT AKTUALISIEREN !!\n\nHandy. \n\nRiss im hinteren/oberen Gehäusedeckel\n\nZubehör:\n   1: Kabel\n\nBemerkungen:\n   * Firmware iOS 4.0\n   * UID: cc7e114fd0613a8cb60f8f642521ee4989c0f835;    \n   * WLAN-Unterstützung\n   * Android 2.2 über Bootloader\n,Apple,iPhone,iOS 4.0,mobile
388,Apple iPod 1G (1) (8GB),t,berlin,Seriennummer: 1C8026HS14N\nVersion:iOS 3.1.3,Apple,iPod Touch,iPhone OS 3.13,mobile
244,Google Nexus S (2),t,cologne,Android 4.1.2\n\nSmartphone (Android). Das alte Firmenhandy von Sebastian Wientzek\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- Aufladekabel\n- Datenkabel,Samsung,Nexus S,Android OS 4.12,mobile
249,Google Galaxy Nexus,t,cologne,Smartphone. WLAN-Unterstützung.\nAndroid 4.3\n\nACHTUNG: AUF KEINEN FALL UPDATEN!\n\nBlue-Box-Inhalt:\n- Phone\n- Deckel\n- Akku\n- USB-Kabel\n- Stromnetzadapter,Samsung,Galaxy Nexus,Android OS 4.3,mobile
242,Samsung Note,t,cologne,Derzeit ist der Akku defekt. Ein neuer ist geordert.\n\nTablet. WLAN-Unterstützung\n\nBlue-Box-Inhalt:\n- Tablet\n- Deckel\n- Akku\n- Datenkabel\n- Stromnetzstecker\n- Stylus,Samsung,GT-N7000,Android OS 2.35,tablet
